City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Zhangye,CN,2021-04-07 17:31:29,38.9342,100.4517,53.15,44,93,0.78
121,Bandarbeyla,SO,2021-04-07 17:31:29,9.4942,50.8122,79.11,60,6,8.97
122,Saint Anthony,US,2021-04-07 17:27:08,45.0205,-93.218,68.0,77,75,10.36
123,Lagoa,PT,2021-04-07 17:31:29,39.05,-27.9833,59.72,90,11,20.15
124,Ilulissat,GL,2021-04-07 17:31:30,69.2167,-51.1,21.2,58,40,4.61
125,Tiksi,RU,2021-04-07 17:31:30,71.6872,128.8694,-11.97,94,92,4.03
126,Semirom,IR,2021-04-07 17:31:30,31.4167,51.5667,54.25,30,38,2.13
127,Helong,CN,2021-04-07 17:31:31,42.5397,128.9972,34.3,31,8,11.86
128,San Patricio,US,2021-04-07 17:31:31,28.017,-97.5169,82.4,69,90,11.5
129,Zhigansk,RU,2021-04-07 17:31:31,66.7697,123.3711,4.59,80,100,20.09
130,Banepa,NP,2021-04-07 17:31:32,27.6298,85.5214,62.6,72,20,2.3
131,Agboville,CI,2021-04-07 17:31:32,5.928,-4.2132,88.05,58,93,5.61
132,Longyearbyen,SJ,2021-04-07 17:31:32,78.2186,15.6401,23.0,86,90,24.16
133,Olafsvik,IS,2021-04-07 17:31:33,64.8945,-23.7142,32.29,94,100,16.4
134,Orapa,BW,2021-04-07 17:31:33,-21.2833,25.3667,72.0,28,2,9.37
135,Puerto Ayora,EC,2021-04-07 17:27:37,-0.7393,-90.3518,80.6,74,40,9.22
136,Bonthe,SL,2021-04-07 17:31:34,7.5264,-12.505,83.7,71,81,8.5
137,Vila Franca Do Campo,PT,2021-04-07 17:31:34,37.7167,-25.4333,62.6,82,75,19.57
138,Quetta,PK,2021-04-07 17:31:34,30.199,67.0097,59.67,17,0,4.21
139,Det Udom,TH,2021-04-07 17:31:35,14.906,105.0784,90.0,65,86,3.44
140,Vorkuta,RU,2021-04-07 17:31:35,67.5,64.0,14.05,94,92,4.83
141,Gizo,SB,2021-04-07 17:31:35,-8.103,156.8419,77.97,91,100,12.86
142,Araguaina,BR,2021-04-07 17:31:36,-7.1911,-48.2072,86.83,57,99,6.53
143,Angoche,MZ,2021-04-07 17:31:36,-16.2325,39.9086,78.04,76,3,8.5
144,Sao Filipe,CV,2021-04-07 17:31:37,14.8961,-24.4956,75.94,65,0,7.9
145,Arauco,CL,2021-04-07 17:27:08,-37.2463,-73.3175,66.2,72,20,10.36
146,Vizinga,RU,2021-04-07 17:31:37,61.0749,50.1031,32.61,96,97,2.71
147,Cidreira,BR,2021-04-07 17:31:37,-30.1811,-50.2056,76.42,68,0,17.98
148,Snasa,NO,2021-04-07 17:31:38,64.2457,12.3778,32.0,86,75,3.44
149,Marabba,SD,2021-04-07 17:31:38,12.35,32.1833,94.71,6,11,8.5
150,Victoria Point,AU,2021-04-07 17:31:38,-27.5833,153.3,68.0,91,62,8.43
151,Ancud,CL,2021-04-07 17:31:39,-41.8697,-73.8203,59.0,88,75,11.5
152,Touros,BR,2021-04-07 17:31:39,-5.1989,-35.4608,84.2,70,40,12.66
153,Havre,FR,2021-04-07 17:31:40,49.5833,0.3333,42.8,70,90,11.5
154,Boende,CD,2021-04-07 17:31:40,-0.2167,20.8667,72.27,93,91,2.44
155,Serrinha,BR,2021-04-07 17:29:20,-11.6642,-39.0075,84.9,48,82,14.72
156,Manta,EC,2021-04-07 17:31:41,-0.95,-80.7333,84.2,65,20,8.05
157,Ufa,RU,2021-04-07 17:31:42,54.775,56.0375,37.4,87,75,6.71
158,Jiazi,CN,2021-04-07 17:31:42,22.8779,116.067,66.33,73,90,11.45
159,Itarema,BR,2021-04-07 17:31:42,-2.9248,-39.9167,85.12,62,100,14.52
160,Bethel,US,2021-04-07 17:31:43,41.3712,-73.414,66.2,37,1,10.36
161,Victoria,HK,2021-04-07 17:31:43,22.2855,114.1577,73.99,83,99,1.01
162,Jaciara,BR,2021-04-07 17:30:14,-15.9653,-54.9683,81.21,74,99,0.78
163,Khorinsk,RU,2021-04-07 17:31:43,52.1657,109.7726,33.13,70,17,1.57
164,Vanimo,PG,2021-04-07 17:31:44,-2.6741,141.3028,78.1,89,100,8.66
165,Tongzi,CN,2021-04-07 17:31:44,28.7829,105.0877,59.7,86,86,1.95
166,Akdagmadeni,TR,2021-04-07 17:31:44,39.6603,35.8836,54.84,43,7,8.08
167,Los Llanos De Aridane,ES,2021-04-07 17:31:45,28.6585,-17.9182,71.6,73,40,4.61
168,San Vicente,AR,2021-04-07 17:31:45,-26.6167,-54.1333,84.56,32,0,3.65
169,Morondava,MG,2021-04-07 17:31:46,-20.2833,44.2833,78.06,82,0,10.16
170,Alofi,NU,2021-04-07 17:31:46,-19.0595,-169.9187,75.2,100,23,3.44
171,Guatire,VE,2021-04-07 17:31:47,10.4762,-66.5427,84.0,48,99,3.0
172,Jega,NG,2021-04-07 17:31:47,12.2175,4.3792,95.16,12,10,2.17
173,Arys,KZ,2021-04-07 17:31:47,42.4252,68.795,53.6,71,2,2.24
174,Auki,SB,2021-04-07 17:31:48,-8.7676,160.7034,76.75,85,93,5.97
175,Elizabeth City,US,2021-04-07 17:31:48,36.2946,-76.2511,80.01,42,2,5.19
176,Nuevitas,CU,2021-04-07 17:31:48,21.5453,-77.2644,82.4,54,75,13.8
177,Aqtobe,KZ,2021-04-07 17:27:04,50.2797,57.2072,35.6,87,75,4.47
178,Hovd,MN,2021-04-07 17:31:49,48.0056,91.6419,42.64,36,0,7.29
179,Northam,GB,2021-04-07 17:31:49,51.0333,-4.2167,45.0,66,53,4.0
180,Kikwit,CD,2021-04-07 17:31:50,-5.041,18.8162,73.38,86,93,4.0
181,Tuatapere,NZ,2021-04-07 17:31:50,-46.1333,167.6833,46.99,95,23,4.72
182,Jamestown,US,2021-04-07 17:31:50,42.097,-79.2353,69.01,56,1,6.91
183,Ribeira Grande,PT,2021-04-07 17:31:51,38.5167,-28.7,62.6,82,75,20.71
184,Kologriv,RU,2021-04-07 17:31:51,58.8275,44.3178,34.54,92,56,9.24
185,Derzhavinsk,KZ,2021-04-07 17:31:51,51.1,66.3167,43.63,77,90,15.52
186,Hami,CN,2021-04-07 17:31:52,42.8,93.45,61.54,24,73,13.38
187,Necaxa,MX,2021-04-07 17:31:52,20.2167,-98.0,83.21,30,5,7.45
188,Bose,IT,2021-04-07 17:31:52,45.4612,8.0137,53.01,17,0,4.61
189,Dicabisagan,PH,2021-04-07 17:31:53,17.0818,122.4157,73.63,86,99,7.61
190,Coquimbo,CL,2021-04-07 17:31:54,-29.9533,-71.3436,66.2,68,0,13.8
191,Bubaque,GW,2021-04-07 17:31:54,11.2833,-15.8333,78.22,78,74,17.34
192,Mehamn,NO,2021-04-07 17:31:54,71.0357,27.8492,35.6,69,20,19.57
193,Roma,US,2021-04-07 17:30:03,43.2128,-75.4557,66.2,34,1,6.91
194,Arraial Do Cabo,BR,2021-04-07 17:31:55,-22.9661,-42.0278,78.8,88,75,4.61
195,Dodge City,US,2021-04-07 17:31:54,37.7528,-100.0171,39.99,87,90,19.57
196,Klaksvik,FO,2021-04-07 17:31:55,62.2266,-6.589,30.2,100,90,13.8
197,Labuhan,ID,2021-04-07 17:31:56,-6.8844,112.2051,78.78,86,100,7.49
198,Pechora,RU,2021-04-07 17:31:56,65.1472,57.2244,36.09,79,100,6.96
199,Fairbanks,US,2021-04-07 17:31:32,64.8378,-147.7164,3.99,84,1,2.06
200,Wewak,PG,2021-04-07 17:31:57,-3.5534,143.6268,76.3,92,100,9.35
201,Chacabuco,AR,2021-04-07 17:30:13,-34.6417,-60.4739,87.01,68,1,10.0
202,Becerril,CO,2021-04-07 17:31:57,9.7041,-73.2793,88.88,60,100,2.71
203,Clyde River,CA,2021-04-07 17:31:57,70.4692,-68.5914,8.6,85,75,9.22
204,Raga,SS,2021-04-07 17:31:58,8.4596,25.678,88.86,15,63,4.56
205,Goderich,CA,2021-04-07 17:31:58,43.7501,-81.7165,69.8,52,31,10.36
206,Chokurdakh,RU,2021-04-07 17:31:58,70.6333,147.9167,-18.04,94,100,2.93
207,Mafinga,TZ,2021-04-07 17:31:59,-7.25,35.0667,67.23,90,31,2.37
208,Lasa,IT,2021-04-07 17:31:59,46.6166,10.7002,46.4,63,40,6.91
209,Karoi,ZW,2021-04-07 17:32:00,-16.8099,29.6925,60.75,69,2,4.94
210,Broken Hill,AU,2021-04-07 17:28:05,-31.95,141.4333,60.8,36,0,6.31
211,Caravelas,BR,2021-04-07 17:32:00,-17.7125,-39.2481,80.15,64,100,10.04
212,Cap Malheureux,MU,2021-04-07 17:32:01,-19.9842,57.6142,81.0,75,83,5.99
213,Mandalgovi,MN,2021-04-07 17:32:01,45.7625,106.2708,39.76,34,3,8.12
214,Manado,ID,2021-04-07 17:32:01,1.487,124.8455,78.8,94,40,1.14
215,Orlik,RU,2021-04-07 17:32:02,52.5178,99.825,18.48,87,30,2.04
216,Kaitangata,NZ,2021-04-07 17:32:02,-46.2817,169.8464,52.0,97,38,4.0
217,The Pas,CA,2021-04-07 17:32:02,53.8251,-101.2541,48.2,43,1,8.05
218,Tosya,TR,2021-04-07 17:32:03,41.0155,34.0401,56.3,44,1,3.85
219,Lumby,CA,2021-04-07 17:29:37,50.2498,-118.969,52.0,57,100,2.3
220,Nicoya,CR,2021-04-07 17:32:03,10.1483,-85.452,91.4,38,0,10.36
221,Inta,RU,2021-04-07 17:32:04,66.0317,60.1659,27.9,90,85,7.18
222,Xuddur,SO,2021-04-07 17:32:04,4.1213,43.8894,84.69,25,17,3.76
223,Alice Springs,AU,2021-04-07 17:32:04,-23.7,133.8833,63.0,67,2,5.75
224,Nagato,JP,2021-04-07 17:32:05,34.3833,131.2,51.8,76,75,6.91
225,Port Lincoln,AU,2021-04-07 17:32:05,-34.7333,135.8667,68.16,40,65,8.28
226,Primero De Marzo,PY,2021-04-07 17:32:06,-25.153,-56.928,84.2,61,75,6.91
227,Afua,BR,2021-04-07 17:32:06,-0.1567,-50.3867,82.74,78,66,2.82
228,Rumford,US,2021-04-07 17:32:06,44.5537,-70.5509,57.99,71,90,4.61
229,Hasaki,JP,2021-04-07 17:32:07,35.7333,140.8333,52.0,87,75,3.44
230,Flin Flon,CA,2021-04-07 17:32:07,54.7682,-101.865,48.2,40,1,4.61
231,Carauari,BR,2021-04-07 17:32:08,-4.8828,-66.8958,88.2,60,40,3.4
232,Ewa Beach,US,2021-04-07 17:32:08,21.3156,-158.0072,69.8,77,75,5.75
233,Itoman,JP,2021-04-07 17:32:08,26.1247,127.6694,68.0,64,20,6.91
234,Kokkola,FI,2021-04-07 17:32:09,63.8385,23.1307,37.4,48,0,3.44
235,Coihaique,CL,2021-04-07 17:32:09,-45.5752,-72.0662,53.6,76,75,3.44
236,Collie,AU,2021-04-07 17:32:09,-33.3667,116.15,57.99,78,89,7.0
237,Chuy,UY,2021-04-07 17:32:10,-33.6971,-53.4616,78.89,59,1,14.03
238,Banjar,ID,2021-04-07 17:32:10,-8.19,114.9675,80.6,94,40,2.3
239,Merauke,ID,2021-04-07 17:32:11,-8.4667,140.3333,78.03,85,100,3.56
240,Saldanha,ZA,2021-04-07 17:32:11,-33.0117,17.9442,66.2,68,39,10.36
241,Kainantu,PG,2021-04-07 17:32:11,-6.2887,145.8655,59.67,97,100,3.6
242,Bilibino,RU,2021-04-07 17:32:12,68.0546,166.4372,-22.45,91,13,3.65
243,Nyrob,RU,2021-04-07 17:32:12,60.733,56.7202,33.84,99,100,3.38
244,Dhidhdhoo,MV,2021-04-07 17:32:13,6.8833,73.1,83.66,71,69,9.53
245,Quang Ngai,VN,2021-04-07 17:32:13,15.1167,108.8,72.55,93,48,4.07
246,Maceio,BR,2021-04-07 17:29:48,-9.6658,-35.7353,86.0,58,40,9.22
247,Sarangani,PH,2021-04-07 17:32:13,5.4033,125.4636,81.09,77,30,7.9
248,Ofaqim,IL,2021-04-07 17:32:14,31.3141,34.6203,73.0,34,1,7.56
249,Kopavogur,IS,2021-04-07 17:32:14,64.1123,-21.913,32.0,86,90,6.91
250,Vardo,NO,2021-04-07 17:32:14,70.3705,31.1107,35.6,75,20,17.27
251,Sangar,RU,2021-04-07 17:32:15,63.9242,127.4739,3.49,88,91,12.59
252,Preobrazheniye,RU,2021-04-07 17:32:15,42.9019,133.9064,32.61,38,0,8.99
253,Sobolevo,RU,2021-04-07 17:32:15,54.4299,31.8996,33.46,87,100,5.37
254,San Carlos,VE,2021-04-07 17:28:55,9.6612,-68.5827,90.16,48,100,4.54
255,Yoichi,JP,2021-04-07 17:32:16,43.2039,140.7703,34.0,92,27,11.5
256,Nova Vicosa,BR,2021-04-07 17:32:16,-17.8919,-39.3719,79.75,66,100,12.5
257,Namibe,AO,2021-04-07 17:32:17,-15.1961,12.1522,78.76,84,29,7.92
258,Seoul,KR,2021-04-07 17:29:16,37.5683,126.9778,50.0,57,0,4.38
259,Srednekolymsk,RU,2021-04-07 17:32:17,67.45,153.6833,-14.51,99,100,2.46
260,Yar-Sale,RU,2021-04-07 17:32:18,66.8333,70.8333,3.72,99,48,4.0
261,Tura,IN,2021-04-07 17:32:18,25.5198,90.2201,69.91,64,5,4.68
262,Marawi,PH,2021-04-07 17:32:18,7.9986,124.2928,79.0,86,97,4.0
263,Ailigandi,PA,2021-04-07 17:32:19,9.2333,-78.0167,82.65,78,99,8.39
264,Shirokiy,RU,2021-04-07 17:32:19,49.758,129.523,23.02,65,86,17.54
265,Rafraf,TN,2021-04-07 17:32:19,37.1904,10.1837,59.0,62,40,18.41
266,Alegrete,BR,2021-04-07 17:32:20,-29.7831,-55.7919,88.99,32,0,9.35
267,Hamilton,US,2021-04-07 17:28:07,39.1834,-84.5333,79.0,41,1,8.05
268,Vila Velha,BR,2021-04-07 17:32:20,-20.3297,-40.2925,77.0,88,90,9.22
269,Maniitsoq,GL,2021-04-07 17:32:21,65.4167,-52.9,31.53,68,48,1.86
270,Tiarei,PF,2021-04-07 17:32:21,-17.5333,-149.3333,75.2,69,20,4.61
271,Nizhniy Odes,RU,2021-04-07 17:32:21,63.6445,54.856,34.05,86,100,4.7
272,Kupino,RU,2021-04-07 17:32:22,54.3663,77.2981,15.94,99,18,5.1
273,Zempoala,MX,2021-04-07 17:32:22,19.45,-96.4167,87.01,58,1,4.61
274,Villazon,BO,2021-04-07 17:30:08,-22.0866,-65.5942,65.35,25,19,6.67
275,Lazaro Cardenas,MX,2021-04-07 17:32:23,17.9583,-102.2,83.71,52,0,10.31
276,Gidole,ET,2021-04-07 17:32:23,5.65,37.3667,62.38,62,61,3.13
277,Bilma,NE,2021-04-07 17:32:23,18.6853,12.9164,90.9,5,0,5.06
278,Sabha,LY,2021-04-07 17:32:24,27.0377,14.4283,84.51,17,0,11.25
279,Thompson,CA,2021-04-07 17:32:24,55.7435,-97.8558,41.0,52,40,5.75
280,Lufilufi,WS,2021-04-07 17:32:24,-13.8745,-171.5986,77.0,88,40,3.44
281,Mazamari,PE,2021-04-07 17:32:25,-11.3258,-74.5308,89.49,44,58,3.11
282,Ouanaminthe,HT,2021-04-07 17:32:25,19.55,-71.7333,80.96,66,97,9.89
283,Lakatoro,VU,2021-04-07 17:32:25,-16.0999,167.4164,78.15,82,70,8.61
284,Te Anau,NZ,2021-04-07 17:32:26,-45.4167,167.7167,43.74,91,6,0.45
285,Udachnyy,RU,2021-04-07 17:32:26,66.4167,112.4,21.94,96,100,6.8
286,Naryan-Mar,RU,2021-04-07 17:30:05,67.6713,53.087,34.57,95,100,11.34
287,Dafeng,CN,2021-04-07 17:32:26,23.4517,108.5881,71.24,93,89,5.32
288,Khorixas,NA,2021-04-07 17:32:27,-20.3667,14.9667,81.16,35,76,12.57
289,Codrington,AU,2021-04-07 17:32:27,-38.2667,141.9667,55.98,77,34,6.44
290,Tasiilaq,GL,2021-04-07 17:32:27,65.6145,-37.6368,24.8,58,20,3.44
291,Torbay,CA,2021-04-07 17:32:28,47.6666,-52.7314,39.99,100,90,6.91
292,Roald,NO,2021-04-07 17:32:28,62.5833,6.1333,33.8,86,40,6.91
293,Lebu,CL,2021-04-07 17:32:29,-37.6167,-73.65,61.38,71,0,8.01
294,Sioux Lookout,CA,2021-04-07 17:32:29,50.1001,-91.917,48.2,46,75,10.36
295,Qaqortoq,GL,2021-04-07 17:32:29,60.7167,-46.0333,42.8,61,20,6.91
