,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
139,kusatsu,JP,35.0167,135.9667,57.99,62,7,8.01,clear sky
140,chicama,PE,-7.8447,-79.1469,70.16,84,100,3.58,light rain
141,azuaga,ES,38.2667,-5.6833,55.99,80,100,7.0,overcast clouds
142,eenhana,NA,-17.4667,16.3333,77.0,41,0,9.22,clear sky
143,airai,TL,-8.9266,125.4092,67.84,75,28,1.61,scattered clouds
144,abu zabad,SD,12.35,29.25,92.7,6,96,21.25,overcast clouds
145,ouallam,NE,14.3188,2.0866,91.31,7,20,13.24,few clouds
146,pevek,RU,69.7008,170.3133,-14.82,98,63,1.25,broken clouds
147,chuy,UY,-33.6971,-53.4616,65.71,94,98,3.2,light rain
148,lebu,CL,-37.6167,-73.65,51.31,88,8,11.86,clear sky
149,kulhudhuffushi,MV,6.6221,73.07,83.3,68,19,3.87,few clouds
150,lagoa,PT,39.05,-27.9833,57.47,88,100,17.58,overcast clouds
151,torbay,CA,47.6666,-52.7314,33.01,100,90,17.27,snow
152,rongcheng,CN,30.634,117.8517,70.59,35,100,5.66,overcast clouds
153,tuatapere,NZ,-46.1333,167.6833,55.0,91,100,3.0,overcast clouds
154,barrow,US,71.2906,-156.7887,-14.8,76,1,5.75,clear sky
155,bambous virieux,MU,-20.3428,57.7575,82.4,74,75,12.66,broken clouds
156,magadan,RU,59.5667,150.8,22.21,78,94,3.53,overcast clouds
157,poum,NC,-20.2333,164.0167,78.64,88,100,18.45,overcast clouds
158,kavieng,PG,-2.5744,150.7967,77.94,91,100,12.26,heavy intensity rain
159,luba,GQ,3.4568,8.5547,89.6,62,20,1.14,few clouds
160,clyde river,CA,70.4692,-68.5914,21.2,79,90,34.52,light snow
161,cherskiy,RU,68.75,161.3,-6.21,93,100,4.88,overcast clouds
162,ejby,DK,55.4858,12.0817,43.0,70,40,14.97,scattered clouds
163,neiafu,TO,-18.65,-173.9833,78.15,66,92,6.73,overcast clouds
164,robertsganj,IN,24.7,83.0667,101.98,9,4,6.96,clear sky
165,sao joao da barra,BR,-21.6403,-41.0511,67.91,80,0,5.01,clear sky
166,kupang,ID,-10.1667,123.5833,82.35,77,25,7.11,scattered clouds
167,esperance,AU,-33.8667,121.9,68.0,60,40,17.27,scattered clouds
168,norman wells,CA,65.282,-126.8329,-9.4,77,75,16.11,snow
169,salalah,OM,17.0151,54.0924,86.0,58,0,13.8,clear sky
170,thunder bay,CA,48.4001,-89.3168,42.01,100,90,1.12,fog
171,tura,IN,25.5198,90.2201,95.72,22,4,8.19,clear sky
172,sovetskaya,RU,44.7769,41.1722,36.1,99,100,4.47,overcast clouds
173,lithakia,GR,37.7167,20.8333,57.2,54,20,4.61,few clouds
174,kangaatsiaq,GL,68.3065,-53.4641,20.75,79,100,7.47,overcast clouds
175,codrington,AU,-38.2667,141.9667,51.71,66,99,26.46,overcast clouds
176,bikaner,IN,28.0167,73.3,97.32,5,0,5.17,clear sky
177,harper,LR,4.375,-7.7169,80.96,80,100,5.79,overcast clouds
178,longyearbyen,SJ,78.2186,15.6401,30.2,69,75,19.57,broken clouds
179,marzuq,YE,14.4,46.4667,88.0,6,6,7.23,clear sky
180,iqaluit,CA,63.7506,-68.5145,6.8,72,75,1.72,broken clouds
181,vasterhaninge,SE,59.1167,18.1,43.0,40,7,16.44,clear sky
182,saint pete beach,US,27.7253,-82.7412,71.6,73,1,16.11,clear sky
183,victor harbor,AU,-35.5667,138.6167,61.0,70,94,5.99,overcast clouds
184,san policarpo,PH,12.1791,125.5072,82.56,66,92,10.71,overcast clouds
185,divnogorsk,RU,55.9594,92.3619,44.6,24,0,13.42,light snow
186,cap malheureux,MU,-19.9842,57.6142,82.0,72,77,5.99,broken clouds
187,nagato,JP,34.3833,131.2,57.2,41,75,3.44,broken clouds
188,douglas,US,41.3,-96.167,50.0,76,90,6.91,overcast clouds
189,petropavl,KZ,54.8753,69.1628,39.2,81,20,4.47,few clouds
190,miraflores,MX,19.2167,-98.8083,62.6,45,20,9.22,few clouds
