City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
316,cidreira,BR,72.84,few clouds,-30.1811,-50.2056,Hotel Castelo
319,ambilobe,MG,85.95,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
322,namibe,AO,82.4,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
327,magdiwang,PH,83.32,overcast clouds,12.491,122.5135,Sanctuary Garden Resort
328,olinda,BR,73.4,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
329,spanish town,JM,78.8,broken clouds,17.9911,-76.9574,Shan's Cloud
332,nhulunbuy,AU,84.2,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
338,iralaya,HN,78.13,overcast clouds,15.0,-83.2333,Iglesia morava renovada
341,ca mau,VN,93.56,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
345,biak,ID,80.64,light rain,-0.9131,122.8766,Penginapan Kim
348,bima,ID,86.27,clear sky,-8.4667,118.7167,Lambitu Hotel
349,jiwani,PK,82.04,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
350,pochutla,MX,75.99,clear sky,15.7432,-96.4661,Hotel Posada San Jose
352,gazanjyk,TM,84.7,overcast clouds,39.2446,55.5154,Railway motel
353,wajir,KE,89.6,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
363,mahibadhoo,MV,83.25,scattered clouds,3.7833,72.9667,Omadhoo Inn
366,arraial do cabo,BR,73.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
367,mount isa,AU,95.0,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
368,kathmandu,NP,80.6,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
370,beihai,CN,79.48,scattered clouds,21.4833,109.1,21 Degree Hostel
371,montepuez,MZ,76.98,overcast clouds,-13.1256,38.9997,Complexo Messalo
373,geraldton,AU,82.4,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
374,trincomalee,LK,83.86,clear sky,8.5711,81.2335,Welcombe Hotel
384,sampit,ID,85.35,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
387,acapulco,MX,75.63,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
388,longhua,CN,83.57,broken clouds,23.6137,114.1919,Huadu Hotel
393,khorramshahr,IR,86.0,overcast clouds,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
394,makaha,US,71.01,clear sky,21.4694,-158.2175,Makaha Resort
395,boa vista,BR,77.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
397,marsh harbour,BS,72.7,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
398,kavaratti,IN,82.65,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
399,makakilo city,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
402,biltine,TD,92.97,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
405,brokopondo,SR,73.94,overcast clouds,4.75,-55.1667,Matu Island
409,kassala,SD,94.51,clear sky,15.450999999999999,36.4,Amassi Hotel Gash
412,paratebueno,CO,71.4,overcast clouds,4.3758,-73.2155,Casa Hotel Paratebueno
413,porto belo,BR,77.0,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
420,natal,BR,75.2,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
425,namatanai,PG,79.02,light rain,-3.6667,152.4333,Namatanai Hotel
426,monrovia,LR,77.0,scattered clouds,6.3005,-10.7969,Sunset Inn
428,pasni,PK,81.66,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
429,lekoni,GA,80.8,light rain,-1.5843,14.2591,Rendez-vous Des ChasseursD
430,isangel,VU,79.86,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
432,villa sandino,NI,70.7,overcast clouds,12.0483,-84.9936,Salón Rossmary
437,port shepstone,ZA,75.13,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
439,morondava,MG,83.08,overcast clouds,-20.2833,44.2833,La Case Bambou
441,black river,JM,77.0,few clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
442,hambantota,LK,89.6,scattered clouds,6.1241,81.1185,Bungalow 63
443,obregon,NI,77.0,few clouds,11.9566,-85.9636,Hostal Casa Aryen
444,mkuranga,TZ,84.2,broken clouds,-7.117999999999999,39.2078,Luminoso Lodge
446,itupiranga,BR,75.2,clear sky,-5.1347,-49.3267,Hotel Panorama
447,phuket,TH,89.6,few clouds,8.0,98.25,The Surin Phuket
448,dingle,PH,85.82,light rain,10.9995,122.6711,SEGAYA PROPERTY
449,ambulu,ID,85.42,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
450,ampanihy,MG,86.36,clear sky,-24.7,44.75,Angora Hotel
452,hwange,ZW,78.13,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
453,lorengau,PG,76.69,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
458,honolulu,US,71.6,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
459,touros,BR,73.4,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
464,juba,SS,92.39,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
466,roebourne,AU,87.42,overcast clouds,-20.7833,117.1333,Harding River Caravan Park
467,key west,US,75.2,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
469,iberia,US,77.0,overcast clouds,29.9502,-91.7507,back to back rv park
471,robore,BO,71.04,clear sky,-18.3333,-59.75,Hotel Las Lajas
474,san patricio,US,73.0,fog,28.017,-97.5169,"Motel 6 Sinton, TX"
479,chum phae,TH,92.64,overcast clouds,16.5443,102.0992,Major Grand
480,mogadishu,SO,86.0,light rain,2.0371,45.3438,Olympic Hotel
483,boyolangu,ID,83.46,broken clouds,-8.1181,111.8935,Yos ega cv
